Item Code,Item Group,Default Unit of Measure,Series,Item Name,Sub Item Group,Specs Sheet,Arabic Description,Disabled,Allow Alternative Item,Maintain Stock,Has Variants,Include Item In Manufacturing,Opening Stock,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Auto Create Assets on Purchase,Create Grouped Asset,Asset Category,Asset Naming Series,Over Delivery/Receipt Allowance (%),Over Billing Allowance (%),Image,Description,Is Zero Rated,Is Exempt,Brand,Shelf Life In Days,End of Life,Default Material Request Type,Valuation Method,Power Type,Electrical Consumption in KW,Gas Consumption in KW,Steam Consumption in KW,Warranty Period (in days),Weight Per Unit,Weight UOM,Allow Negative Stock,Units,Height,Width,Length,Diameter,Dimension,Has Batch No,Automatically Create New Batch,Batch Number Series,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Serial Number Series,Variant Of,Variant Based On,Enable Deferred Expense,No of Months (Expense),Enable Deferred Revenue,No of Months (Revenue),Default Purchase Unit of Measure,Minimum Order Qty,Safety Stock,Allow Purchase,Lead Time in days,Last Purchase Rate,Is Customer Provided Item,Customer,Delivered by Supplier (Drop Ship),Country of Origin,Customs Tariff Number,Default Sales Unit of Measure,Grant Commission,Allow Sales,Max Discount (%),Inspection Required before Purchase,Quality Inspection Template,Inspection Required before Delivery,Currency,Shipping term,Exchange Factor,Landed Cost,Price Factor,Additional margin,Less Margin,Selling Price,Supply Raw Materials for Purchase,Default BOM,Customer Code,Default Item Manufacturer,Default Manufacturer Part No,Total Projected Qty,ID (Fitting Details),Model Name (Fitting Details),Model No. (Fitting Details),No. (Fitting Details),QTY (Fitting Details),ID (Accessories Details),Accessory No. (Accessories Details),Model Name (Accessories Details),Model No. (Accessories Details),No. (Accessories Details),QTY (Accessories Details),ID (Barcodes),Barcode (Barcodes),Barcode Type (Barcodes),UOM (Barcodes),ID (Reorder level based on Warehouse),Check in (group) (Reorder level based on Warehouse),Material Request Type (Reorder level based on Warehouse),Re-order Level (Reorder level based on Warehouse),Re-order Qty (Reorder level based on Warehouse),Request for (Reorder level based on Warehouse),ID (UOMs),Conversion Factor (UOMs),UOM (UOMs),ID (Variant Attributes),Attribute (Variant Attributes),Attribute Value (Variant Attributes),Disabled (Variant Attributes),From Range (Variant Attributes),Increment (Variant Attributes),Numeric Values (Variant Attributes),To Range (Variant Attributes),Variant Of (Variant Attributes),ID (Item Defaults),Company (Item Defaults),Default Buying Cost Center (Item Defaults),Default Discount Account (Item Defaults),Default Expense Account (Item Defaults),Default Income Account (Item Defaults),Default Price List (Item Defaults),Default Provisional Account (Item Defaults),Default Selling Cost Center (Item Defaults),Default Supplier (Item Defaults),Default Warehouse (Item Defaults),Deferred Expense Account (Item Defaults),Deferred Revenue Account (Item Defaults),ID (Supplier Items),Supplier (Supplier Items),Supplier Part Number (Supplier Items),ID (Customer Items),Customer Group (Customer Items),Customer Name (Customer Items),Ref Code (Customer Items),ID (Taxes),Item Tax Template (Taxes),Maximum Net Rate (Taxes),Minimum Net Rate (Taxes),Tax Category (Taxes),Valid From (Taxes)
MT-02,Custom Fabrication,Nos,STO-ITEM-.YYYY.-,Stainless Steel Decorative Ceiling Pipe Works,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/WhatsApp Image 2026-07-02 at 3.38.35 PM.jpeg,"<div><p>Supply, fabricate, and install Ø150 mm (150 mm diameter), 1.5 mm thick Stainless Steel Grade 304 decorative pipes suspended from the ceiling at the Ground Floor Gym Hall, First Floor CrossFit Area, and Flexible Studio, including all suspension systems, threaded rods, supports, brackets, connectors, fixing accessories, end caps, fabrication, polishing, finishing, and all materials and workmanship required to complete the installation in accordance with the project specifications, approved shop drawings, approved material samples, and the Engineer's instructions. The work shall be completed in all respects.</p><p>MADE IN KSA</p><p>QTY IN LM</p></div>",0,0,Culinox,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,Ex Work,1,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,aan0ut14ck,1,Nos,,,,,,,,,,aan0tcltkq,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
MT-01,Custom Fabrication,Nos,STO-ITEM-.YYYY.-,Stainless Steel Wall Cladding Works,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/WhatsApp Image 2026-07-02 at 3.37.46 PM.jpeg,"<div><p>Supply, fabricate, and install 2 mm thick Brushed Stainless Steel Grade 304 wall cladding (MT-01) fixed over 18 mm thick MDF backing board at the Reception, Staircase, and Flexible Area, including MDF backing boards, all necessary substructure (where required), fixing systems, anchors, adhesives, trims, accessories, cutting, bending, fabrication, finishing, and all materials and workmanship required to complete the installation in accordance with the project specifications, approved shop drawings, approved material samples, and the Engineer's instructions. The work shall be completed in all respects.</p><p>MADE IN KSA</p><p>QTY IN SQM</p></div>",0,0,Culinox,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,Ex Work,1,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,57ie3dv7f3,1,Nos,,,,,,,,,,57ie20gblm,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
P10,Dishwashing,Nos,STO-ITEM-.YYYY.-,MIXER 1 HOLE ,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,,<div><p>SINK MIXER 1 HOLE SILVA VICTORIA ITALY </p></div>,0,0,LOCAL,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,34.78,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,1,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,6vbv3vg4do,1,Nos,,,,,,,,,,6vbv5ffbm9,Culinova,,,,,,,,,Stores - CUL,,,,,,,,,,,,,,,
7865.N1.12908.51,Cooking Equipment,Nos,STO-ITEM-.YYYY.-,6 Square Electric Range on Maxi Oven ,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/7865.N1.12908.51.jpg,"<div><p>Heavy-duty 1200 x 900 mm electric range with a 2 mm thick deep-drawn stainless steel monoblock top for durability and easy cleaning.</p><p>Equipped with 4 sealed cast-iron hot plates, each featuring:</p><p>Overheat protection safety switch.</p><p>6-position heat control.</p><p>Temperature range of 90°C to 450°C.</p><p>Large static oven with:</p><p>Independently controlled top and bottom heating elements.</p><p>Thermostatic temperature control from 50°C to 300°C.</p><p>AISI 430 stainless steel oven chamber.</p><p>Removable chrome-plated tray guides with 3 height positions.</p><p>Chamber suitable for GN 2/1 containers.</p><p>Deep-drawn oven door and chamber front support minimize heat loss and eliminate the need for additional gaskets.</p><p>Electrical connection: 33 kW, 400V, 3NPE, 50/60 Hz.</p><p>Dimensions: 1200 x 900 x 850 mm.</p><p>Net weight: 200 kg.</p><p>Manufactured in Turkey by OZTI.</p></div>",0,0,OZTI,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,,,1.8,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,62ej3epf1o,1,Nos,,,,,,,,,,62ejt96ds2,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
7865.N1.12908.50,Cooking Equipment,Nos,STO-ITEM-.YYYY.-,6 Square Electric Range on Maxi Oven ,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/7865.N1.12908.50.jpg,"<div><p>6 high-efficiency brass gas burners with pilot ignition.</p><p>Flame failure safety device on each burner.</p><p>Heavy-duty 2 mm stainless steel monoblock cooking surface with rounded corners for easy cleaning.</p><p>Large gas static oven with thermostat control from 100°C to 300°C.</p><p>AISI 430 stainless steel oven chamber with adjustable, removable rack guides.</p><p>40 mm insulated oven door for improved heat retention.</p><p>Micro-perforated stainless steel oven burners for fast and efficient heating.</p><p>Cast iron pan supports with acid-resistant enamel coating, dishwasher safe.</p><p>Large oven chamber dimensions: 1060 × 550 × 275 mm.</p><p>Dimensions (W × D × H): 1200 × 900 × 850 mm</p><p>Country of Origin: Turkey</p></div>",0,0,OZTI,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,,,1.8,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,7tn0jgs7ee,1,Nos,,,,,,,,,,7tn0g6ledu,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
MFRG74A,Cooking Equipment,Nos,STO-ITEM-.YYYY.-,FREE STANDING GAS FRYER ON CLOSED STAND WITH DOOR,Fryers,,,0,0,1,0,1,0,7009,13492,0,0,0,,,0,0,/files/Screenshot 2026-07-01 163435.png,"<div><p>Tank capacity (lt-GN) : 14</p><p>. The 18/10 AISI 304 S/S tanks are moulded and continuous-welded w/ rounded corners for easy cleaning &amp; sanification.</p><p>. Safety thermostat and thermostatic temperature control to keep the oil temperature within safety parameters.</p><p>. 1 mm worktop in AISI 18/10 S/S. Excellent alignement w/ joints.</p><p>. High output S/S burner w/ horizontal flame, safety valve and thermocouple, automatic ignition with pilot flame and piezoelectric device.</p><p>. Total power (kW) : 12,5</p><p>. Tank dimensions - WxDxH (cm) : 28 x 34 x 30</p><p>. Weight (kg) : 57</p><p>. Volume (m3) : 0,6</p><p>. Dim: 400 x 730 x 850/ 1180 mm</p><p>. Italy made.</p><p>. INCLUDE ISO9001</p></div>",0,0,MBM,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,AED,Ex Work,1.1,7709.9,1.75,0,0,13492,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,dohk0eo11o,1,Nos,,,,,,,,,,dohk01026h,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
G-FR2X18,Cooking Equipment,Nos,STO-ITEM-.YYYY.-,Double Tank Gas Deep Fryer 2 × 18L Countertop,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/قلاية-غاز-حوضين-18-لتر-الصين-مصانع-الناصر-fryer-alnasser-factories.webp,"<div><p>Heavy-duty countertop gas fryer featuring two independent 18-liter tanks for high-volume frying operations. Designed for fast heat recovery and consistent cooking performance, it offers precise temperature control, durable construction, and efficient operation, making it ideal for restaurants, fast-food outlets, and commercial kitchens.</p><p>Specifications:</p><p>Type: Gas Deep Fryer</p><p>Configuration: Double Tank</p><p>Capacity: 18 + 18 Liters</p><p>Temperature Range: 20°C – 190°C</p><p>Dim: 680 × 660 × 610 mm</p><p><br></p><p><br></p><p><br></p></div>",0,0,LOCAL,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,1,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,93b5t0r3vf,1,Nos,,,,,,,,,,93b59dhu6l,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
E-FR2X16,Cooking Equipment,Nos,STO-ITEM-.YYYY.-,Electrical Double Deep Fryer Machine W/Taps – 16+16 Ltrs,,,,0,0,1,0,1,0,960,1536,0,0,0,,,0,0,/files/dds.jpg,"<div><p>High Capacity: Dual 16+16 liter tanks, ideal for high-volume frying.</p><p>Convenient Design: Equipped with drainage taps for easy oil removal and cleaning.</p><p>Precise Control: Adjustable temperature range from 50°C to 200°C.</p><p>Powerful Performance: 10000W power output, compatible with 220V/60Hz.</p><p>Dimensions: 690 × 560 × 360 MM.</p><p>Reliable Build: Durable electric fryer designed for efficient commercial use.</p></div>",0,0,LOCAL,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,1,960,1.6,0,0,1536,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,26euhieoql,1,Nos,,,,,,,,,,26eu8rtj77,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
CR392126,Walk-ins,Nos,STO-ITEM-.YYYY.-,SUPPLY AND INSTALLATION  WALK IN CHILLER ,Cold Room,https://culinovaerp.frappe.cloud/files/cold%20room.pdf,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/CR222526.jpg,"<div><p>High-performance commercial walk-in chiller designed for efficient cold storage in restaurants, hotels, and food facilities. Built with premium insulation and reliable European components to maintain consistent cooling.</p><p>- Temperature Range: +2°C to +5°C </p><p>- Panels: 10 cm thick polyurethane sandwich panels (male-female lock), with internal &amp; external aluminum flashing, sealed with silicone and rounded aluminum corners </p><p>- Flooring: Insulated 10 cm floor panel with anti-slip grooved aluminum sheets </p><p>- Door: MTH brand (Italy) insulated chiller door with full kit &amp; PVC strip curtain </p><p>- Condensing Unit: Dorin (Italy) – 2.5 HP </p><p>- Evaporator Unit: Friga-Bohn (France) </p><p>- Control System: Digital electronic control panel with automatic fan stop when door opens, plus internal lighting</p><p>- External Dimensions: 3900x 2100 x 2600 MM</p><p><br></p></div>",0,0,Culinox,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,30000,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,Ex Work,1,37200,1.6,0,0,59520,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,9vco525a57,1,Nos,,,,,,,,,,9vcov0e4r7,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
3*8,Food Preparation,Nos,STO-ITEM-.YYYY.-,Triple Cereal Dispenser 8L,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/3020974.webp,"<div><p>This Choice cereal dispenser is designed to hold up to up to 24 liters of product. </p><p>Use it at your hotel breakfast bar or buffet to serve up delicious cereals, granola or snacks. </p><p>It's perfect for cafes and bistros, too! Store snack foods in your employee breakroom, or candy at your convenience store. </p><p>The options are endless with this dispenser!</p></div>",0,0,Golden Ware,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,1091.3,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,,,1.85,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,23fqom108f,1,Nos,,,,,,,,,,23fqjvack1,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
